;Provinsi;Kota/Kabupaten;Website;Framework;;;;;;;;;;;;;;;;;;;;;;;
84;Jawa Timur;Kabupaten Jember;http://kabjember.jdih.jatimprov.go.id/;JQuery;;;Apache;Bootstrap;Font Awesome;Animate.css;Slick;FancyBox;;;;;;;;;;;;;;;
85;Jawa Timur;Kabupaten Mojokerto;https://kabmojokerto.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;Google Font API;DataTables;;;;;;;;;;;;;;;;
86;Jawa Timur;Kabupaten Malang;http://jdih.malangkab.go.id/;JQuery;Drupal;PHP;Apache;;;Google Font API;;JQuery Migrate;JQuery UI;;;;;;;;;;;;;;
87;Jawa Timur;Kabupaten Pacitan;https://kabpacitan.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;Google Font API;MySQL;Data Tables;;;;;;;;;;;;;;;
88;Jawa Timur;Kabupaten Pasuruan;https://kabpasuruan.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;;MySQL;JQuery Migrate;;;;;;;;;;;;;;;
89;Jawa Timur;Kabupaten Pamekasan;https://kabpamekasan.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;;MySQL;JQuery Migrate;;;;;;;;;;;;;;;
90;Jawa Timur;Kabupaten Ponorogo;https://kabponorogo.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;Google Font API;MySQL;LightBox;;;;;;;;;;;;;;;
91;Jawa Timur;Kabupaten Sampang;https://kabsampang.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;Data Tables;MediaElement.js;JQuery Migrate;data Tables;;;;;;;;;;;;;;
92;Jawa Timur;Kabupaten Situbondo;https://kabsitubondo.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;;Google Font API;MediaElement.js;Data Tables;mySQL;all in SEO;;;;;;;;;;;;;
93;Jawa Timur;Kabupaten Sidoarjo;https://sjdih.sidoarjokab.go.id/;JQuery;;PHP;Apache;Bootstrap;;Data Tables;Modernizr;SweetAlert;;;;;;;;;;;;;;;
94;Jawa Timur;Kabupaten Trenggalek;https://kabtrenggalek.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;Font Awesome;Google Font API;MySQL;JQuery Migrate;JQuery UI;;;;;;;;;;;;;;
95;Jawa Timur;Kabupaten Tuban;https://jdih.tubankab.go.id/;JQuery;Wordpress;PHP;Apache;GSAP;Font Awesome;Google Font API;MySQL;JQuery Migrate;Slick;;;;;;;;;;;;;;
96;Jawa Timur;Kabupaten Tulungagung;http://jdih.tulungagung.go.id/;504;;;;;;;;;;;;;;;;;;;;;;;
97;Jawa Timur;Kota Kediri;https://jdih.kedirikota.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;Font Awesome;Google Font API;;JQuery Migrate;;;;;;;;;;;;;;;
98;Jawa Timur;Kota Madiun;https://jdih.madiunkota.go.id/;JQuery;Wordpress;PHP;Apache;Bootstrap;Font Awesome;GSAP;Chart.js;JQuery Migrate;JQuery UI;Lightbox;Backbone.js;Marionette.js;;;;;;;;;;;
99;Jawa Timur;Kota Malang;https://kotamalang.jdih.jatimprov.go.id/;error;;;;;;;;;;;;;;;;;;;;;;;
100;Jawa Timur;Kota Mojokerto;http://jdih.mojokertokota.go.id/;JQuery;;PHP;Apache;Bootstrap;OpenSSL;;;;;;;;;;;;;;;;;;
101;Jawa Timur;Kota Surabaya;https://jdih.surabaya.go.id/;JQuery;;PHP;Apache;Bootstrap;animate.css;Google Font API;google analytics;;;;;;;;;;;;;;;;
102;Jawa Timur;Kota Probolinggo;https://kotaprobolinggo.jdih.jatimprov.go.id/;JQuery;Wordpress;PHP;Apache;;Data Tables;;MediaElement.js;JQuery Migrate;;all in SEO;;;;;;;;;;;;;
103;DIY Yogyakarta;Kabupaten Sleman;http://jdih.slemankab.go.id/;JQuery;Wordpress;PHP;Apache;Bootstrap;Font Awesome;MySQL;Select 2;JQuery Migrate;;;;;;;;;;;;;;;
104;DIY Yogyakarta;Kota Yogyakarta;http://jdih.jogjakota.go.id/;JQuery;CodeIgniter;PHP;Apache;Bootstrap;;Google Font API;;;JQuery UI;;;;;;;;;;;;;;
105;DIY Yogyakarta;Kabupaten Bantul;http://jdih.bantulkab.go.id/;JQuery;;;Apache;Bootstrap;;;;;;;;;;;;;;;;;;;
106;DIY Yogyakarta;Kabupaten Gunung Kidul;http://jdih.gunungkidulkab.go.id/;JQuery;;PHP;;Bootstrap;;;;;;;;;;;;;;;;;;;
107;DIY Yogyakarta;Kabupaten Kulon Progo;http://jdih.kulonprogokab.go.id/;error;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
